codigo_producto;nombre_producto;marca;codigo_bodega;cantidad_inicial;costo_unitario;pvp
6779;TERMOSWITCH GOL 2 CONTACTOS S/AC;VARIOS;TPR003;7;0;13
6780;BOBINA GOLF VENTO MAGNETI MARELI;VARIOS;BI015MM;0;0;55
6781;TROMPO RETRO GOL 01-05;VARIOS;D22245;3;0;12
6782;FUSIBLE 25 GRANDE;VARIOS;NA;34;0;0.5
6783;KIT CAUCHOS RADIADOR ESCARABAJO VERDE;VARIOS;171010200;4;0;7
6784;PLATILLO AMORTIGUADOR SUPERIOR GOL 01-05 ALTO;VARIOS;NA;0;0;9
6785;SOPORTE AMORT GOL GOLF 95-99;VARIOS;CSA401;12;0;18
6786;BUJE MESA GOL 95-08 AMAZON SANTANA;VARIOS;BUM401;9;0;5
6787;KIT CABLES GOL 1.8 01-05 ALT;VARIOS;1509;7;0;28
6788;DISCO FRENO SOLIDO GOL GOLF 95-99;VARIOS;HF01;6;0;29
6789;ESPIRAL POST GOL 00-05;VARIOS;NA;0;0;48
6790;SOPORTE CAJA GOL AMAZON;VARIOS;NA;3;0;16
6791;FILTRO AIRE GOLF VENTO 94-99;VARIOS;NA;1;5.4;8
6792;PALANCA DIRECCIONAL VENTO GOLF;VARIOS;822033;0;0;65
6793;EMPAQUE TAPA VALVULAS CAUCHO GOL GOLF AMAZON;VARIOS;EVA411;2;0;12
6794;CAUCHO ESTABILIZADOR INT GOL;VARIOS;NA;1;0;4
6795;EMPAQUE CABEZOTE GOL AMAZON SANTANA 1.6 1.8;VARIOS;1168;4;0;15
6796;REJILLA PARACHOQUE CENTRAL GOL 03-05;VARIOS;NA;1;0;11
6797;VALVULA RELANTY IAC GOLF  94- 99 THOMSON;VARIOS;SSR011;0;0;81
6798;TERMOSWITCH POLO BR GOLF IV JETTA;VARIOS;SE4711-VIK-1103;5;0;22
6799;PASTILLAS VENTO 2.0 D/V PD329;VARIOS;SP1043;5;0;24
6800;PASTILLAS GOLF III VENTO 1.8 D/S  PD328 ;VARIOS;P7242M72;2;0;26
6801;PASTILLAS GOLF IV POLO BR GOL 1.6 SK FABIA VIRTUS 19 PD58 ;VARIOS;LF-D768;2;0;42
6802;PATA TELESCOPICA MAGUERTA USD;VARIOS;NA;0;0;155
6803;EMPAQUE CABEZOTE POLO BR FOX METAL;VARIOS;NA;2;0;29
6804;TAPA  ACEITE GOL AMAZON SANTA GOLF;VARIOS;TAM421;6;0;6
6805;CAUCHO SOPORTE DELAN GOL;VARIOS;NA;7;0;11
6806;SENSOR IAC  RELANTY GOL 00-08 1.8  4004399102Y;VARIOS;1337;0;0;56
6807;PASTILLAS SANTANA GOL LARGA PD28;VARIOS;P7242M721;2;0;25
6808;ROTOR GOLF GOL EVL134;VARIOS;RON412;11;0;8
6809;TROMPO STOP GOL GOLF MECANICO;VARIOS;SE5491-OST-0759;7;0;8
6810;RADIADOR GOL 01-05 C/A;VARIOS;02-003-37-0025;1;0;75
6811;DISCO FRENO GOL 01-05 VENTILADO;VARIOS;HF02A;2;0;25
6812;AXIAL 33.5X16 JETTA 2.0 16-18;VARIOS;NA;0;0;19
6813;RULIMAN DELAN GOL 01-05 - 3X0407625 ALT;VARIOS;VKBC 20063LT;6;0;15
6814;BORNE PARA BATERIA (GRANDE );VARIOS;NA;0;0;4
6815;BORNE PARA BATERIA (PEQUEÑO );VARIOS;NA;2;0;3
6816;EXCENTRICA MANIJA PUERTA GOL;VARIOS;NA;5;0;4
6817;EMBLEMA DELANT GOL 95-99;VARIOS;NA;1;0;6
6818;EMBLEMA DELANT GOL 01-05 JETTA 07 ;VARIOS;NA;0;0;13
6819;KIT PLATILLO EMBRAGUE GOLF VENTO;VARIOS;NA;0;0;12
